17.592,6.1101
9.1302,5.5277
13.662,8.5186
11.854,7.0032
6.8233,5.8598
11.886,8.3829
4.3483,7.4764
12,8.5781
6.5987,6.4862
3.8166,5.0546
3.2522,5.7107
15.505,14.164
3.1551,5.734
7.2258,8.4084
0.71618,5.6407
3.5129,5.3794
5.3048,6.3654
0.56077,5.1301
3.6518,6.4296
5.3893,7.0708
3.1386,6.1891
21.767,20.27
4.263,5.4901
5.1875,6.3261
3.0825,5.5649
22.638,18.945
13.501,12.828
7.0467,10.957
14.692,13.176
24.147,22.203
-1.22,5.2524
5.9966,6.5894
12.134,9.2482
1.8495,5.8918
6.5426,8.2111
4.5623,7.9334
4.1164,8.0959
3.3928,5.6063
10.117,12.836
5.4974,6.3534
0.55657,5.4069
3.9115,6.8825
5.3854,11.708
2.4406,5.7737
6.7318,7.8247
1.0463,7.0931
5.1337,5.0702
1.844,5.8014
8.0043,11.7
1.0179,5.5416
6.7504,7.5402
1.8396,5.3077
4.2885,7.4239
4.9981,7.6031
1.4233,6.3328
-1.4211,6.3589
2.4756,6.2742
4.6042,5.6397
3.9624,9.3102
5.4141,9.4536
5.1694,8.8254
-0.74279,5.1793
17.929,21.279
12.054,14.908
17.054,18.959
4.8852,7.2182
5.7442,8.2951
7.7754,10.236
1.0173,5.4994
20.992,20.341
6.6799,10.136
4.0259,7.3345
1.2784,6.0062
3.3411,7.2259
-2.6807,5.0269
0.29678,6.5479
3.8845,7.5386
5.7014,5.0365
6.7526,10.274
2.0576,5.1077
0.47953,5.7292
0.20421,5.1884
0.67861,6.3557
7.5435,9.7687
5.3436,6.5159
4.2415,8.5172
6.7981,9.1802
0.92695,6.002
0.152,5.5204
2.8214,5.0594
1.8451,5.7077
4.2959,7.6366
7.2029,5.8707
1.9869,5.3054
0.14454,8.2934
9.0551,13.394
0.61705,5.4369
